2018-04-25	2000	점심	식비
2018-04-26	3800	빵	간식비
2018-04-26	1800	점심	식비
2018-04-27	1000	빵	식비
2018-04-28	2370	점심	식비
2018-04-29	5000	점심	식비
2018-04-30	2400	간식	간식비
2018-04-30	2500	점심	식비
2018-05-01	11000	족발	식비
2018-05-01	1800	점심	식비
2018-05-01	10000	옷	의류비
2018-05-02	2500	과자	간식비
2018-05-02	2000	점심	식비
2018-05-03	5000	저녁	식비
2018-05-03	8000	영화표	유흥비
2018-05-04	1500	과자	간식비
2018-05-04	78550	교통비	교통비
2018-05-04	3000	점심	식비
2018-05-05	3300	빵	간식비
2018-05-05	9500	돈까스	식비
2018-05-05	2000	사이다	간식비
2018-05-06	2520	과자	간식비
2018-05-08	3700	점심	식비
2018-05-09	2000	과자	간식비
2018-05-09	4300	점심	식비
2018-05-10	2400	과자	간식비
2018-05-10	5000	저녁	식비
2018-05-10	3700	점심	식비
2018-05-11	870	과자	간식비
2018-05-12	7000	저녁	식비
2018-05-13	6000	점심	식비
2018-05-14	2000	점심	식비
2018-05-15	500	음료수	유흥비
2018-05-15	2000	점심	식비
2018-05-16	10000	양말	의류비
2018-05-16	4300	점심	식비
2018-05-17	3700	점심	식비
2018-05-18	2000	점심	식비
2018-05-18	11000	영화비	유흥비
2018-05-19	3020	과자	간식비
2018-05-20	5900	돈까스	식비
2018-05-21	1500	과자	간식비
2018-05-21	53800	통신비	통신비
2018-05-21	4300	점심	식비
2018-05-21	1000	이어폰	생활비
2018-05-23	3000	생활비	기타
2018-05-23	9500	생활비	기타
2018-05-23	1800	점심	식비
2018-05-24	1800	점심	식비
2018-05-26	2220	과자	간식비
2018-05-26	5000	점심	식비
2018-05-27	1740	점심	식비
2018-05-28	1800	빵	간식비
2018-05-28	1800	점심	식비
2018-05-29	4300	점심	식비
2018-05-30	3500	과자	간식비
2018-05-30	2500	점심	식비
2018-05-31	3700	점심	식비
2018-06-01	3000	점심	식비
2018-06-02	4500	점심	식비
2018-06-04	2400	과자	간식비
2018-06-04	2700	노트	문구비
2018-06-04	3500	점심	식비
2018-06-05	4300	점심	식비
2018-06-08	26000	잉크	문구비
2018-06-10	4000	점심	식비
2018-06-11	4000	점심	식비
2018-06-12	1500	빵	간식비
2018-06-12	2000	점심	식비
2018-06-13	1500	과자	간식비
2018-06-14	500	볼펜	문구비
2018-06-14	5000	점심	식비
2018-06-15	2400	연습장	문구비
2018-06-15	3700	점심	식비
2018-06-16	4500	점심	식비
2018-06-17	1200	빵	식비
2018-06-18	5600	점심	식비
2018-06-19	4000	기타	기타
2018-06-19	3500	빵	간식비
2018-06-20	800	볼펜	문구비
2018-06-20	5000	점심	식비
2018-06-21	51850	통신비	통신비
2018-06-21	5000	과자	간식비
2018-06-21	2800	점심	식비
2018-06-22	1500	점심	식비
2018-06-22	3500	연습장	문구비
2018-06-24	4700	페브리즈	생활비
2018-06-24	2500	점심	식비
2018-06-25	1800	점심	식비
2018-06-25	2750	건전지	생활비
2018-06-26	2800	기타	문구비
2018-06-26	11770	약	생활비
2018-06-27	1000	기타	기타
2018-06-27	3700	점심	식비
2018-06-28	4000	과자	간식비
2018-06-28	700	아이스크림	간식비
2018-06-28	4000	점심	식비
2018-06-29	3700	점심	식비
2018-06-30	49800	옷	의류비
2018-07-02	3000	점심	식비
2018-07-04	75650	교통비	교통비
2018-07-04	4300	점심	식비
2018-07-05	3700	점심	식비
2018-07-06	4200	점심	식비
2018-07-07	2920	과자	간식비
2018-07-08	5900	점심	식비
2018-07-09	1000	아이스크림	간식비
2018-07-09	2000	점심	식비
2018-07-10	5000	저녁	식비
2018-07-10	3700	점심	식비
2018-07-10	11800	철도권	교통비
2018-07-11	3000	호두과자	간식비
2018-07-11	11800	철도권	교통비
2018-07-11	2300	점심	식비
2018-07-12	3700	점심	식비
2018-07-13	10000	이발비	생활비
2018-07-15	5000	점심	식비
2018-07-16	2800	점심	식비
2018-07-18	1200	볼펜	문구비
2018-07-19	7000	피자	식비
2018-07-19	3600	점심	식비
2018-07-19	15000	사진비	생활비
2018-07-20	2000	간식	간식비
2018-07-20	15000	여권발급	기타
2018-07-20	38000	여권발급	기타
2018-07-21	1500	아이스크림	간식비
2018-07-21	5000	점심	식비
2018-07-23	51850	통신비	통신비
2018-07-23	3600	점심	식비
2018-07-23	2700	노트	문구비
2018-07-24	30000	캐시	유흥비
2018-07-24	4500	점심	식비
2018-07-25	2560	빵	간식비
2018-07-25	2800	점심	식비
2018-07-26	2800	점심	식비
2018-07-27	1500	키위주스	간식비
2018-07-27	11900	토익책	책
2018-07-28	4500	점심	식비
2018-07-29	1200	과자	간식비
2018-07-29	4500	후시딘	생활비
2018-07-29	8000	저녁	식비
2018-07-30	2800	점심	식비
2018-07-30	2850	노트	문구비
2018-07-31	2800	점심	식비
2018-08-01	1000	간식비	간식비
2018-08-01	5000	점심	식비
